<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AGRO,D,20231110,000000,1540.0000000,1549.4000000,1508.0000000,1521.8000000,326238
AGRO,D,20231113,000000,1521.0000000,1582.0000000,1411.2000000,1446.0000000,1851015
AGRO,D,20231114,000000,1445.6000000,1445.6000000,1362.0000000,1384.0000000,765736
AGRO,D,20231115,000000,1380.0000000,1454.8000000,1359.0000000,1431.0000000,781329
AGRO,D,20231116,000000,1426.6000000,1447.0000000,1386.0000000,1394.2000000,403222
AGRO,D,20231117,000000,1394.2000000,1476.2000000,1386.0000000,1467.0000000,798916
AGRO,D,20231120,000000,1468.6000000,1591.0000000,1458.2000000,1559.8000000,2489033
AGRO,D,20231121,000000,1556.4000000,1609.0000000,1511.8000000,1532.0000000,1816001
AGRO,D,20231122,000000,1532.0000000,1555.0000000,1482.0000000,1498.0000000,491643
AGRO,D,20231123,000000,1498.4000000,1514.6000000,1465.2000000,1511.4000000,240265
AGRO,D,20231124,000000,1525.4000000,1555.0000000,1475.2000000,1500.6000000,540790
AGRO,D,20231127,000000,1502.4000000,1513.8000000,1454.0000000,1466.6000000,211608
AGRO,D,20231128,000000,1466.6000000,1515.6000000,1433.0000000,1487.8000000,351415
AGRO,D,20231129,000000,1495.0000000,1509.8000000,1460.6000000,1470.0000000,149901
AGRO,D,20231130,000000,1470.0000000,1473.6000000,1436.0000000,1449.0000000,165151
AGRO,D,20231201,000000,1449.4000000,1459.8000000,1410.0000000,1422.4000000,176332
AGRO,D,20231204,000000,1410.0000000,1416.8000000,1362.8000000,1375.2000000,263438
AGRO,D,20231205,000000,1372.8000000,1394.0000000,1317.6000000,1364.2000000,375895
AGRO,D,20231206,000000,1366.8000000,1410.0000000,1331.0000000,1351.8000000,424094
AGRO,D,20231207,000000,1346.6000000,1374.4000000,1305.0000000,1326.4000000,393244
AGRO,D,20231208,000000,1328.2000000,1349.4000000,1288.0000000,1292.6000000,286917
AGRO,D,20231211,000000,1292.6000000,1292.6000000,1207.6000000,1216.2000000,488982
AGRO,D,20231212,000000,1213.0000000,1285.8000000,1211.2000000,1268.0000000,517074
AGRO,D,20231213,000000,1265.6000000,1279.2000000,1251.4000000,1265.0000000,229550
AGRO,D,20231214,000000,1269.4000000,1297.8000000,1211.0000000,1225.8000000,243567
AGRO,D,20231215,000000,1220.0000000,1338.4000000,1212.2000000,1320.4000000,367028
AGRO,D,20231218,000000,1323.0000000,1357.2000000,1311.4000000,1343.2000000,268777
AGRO,D,20231219,000000,1348.0000000,1359.8000000,1320.0000000,1330.0000000,217590
AGRO,D,20231220,000000,1334.0000000,1370.0000000,1330.2000000,1345.0000000,178853
AGRO,D,20231221,000000,1338.4000000,1345.0000000,1305.0000000,1324.6000000,277002
AGRO,D,20231222,000000,1326.2000000,1356.2000000,1324.2000000,1344.0000000,108380
AGRO,D,20231225,000000,1345.6000000,1390.4000000,1345.6000000,1379.0000000,374721
AGRO,D,20231226,000000,1383.6000000,1418.6000000,1383.6000000,1395.4000000,298357
AGRO,D,20231227,000000,1400.4000000,1418.0000000,1370.6000000,1384.0000000,168441
AGRO,D,20231228,000000,1386.0000000,1391.8000000,1346.4000000,1367.0000000,158461
AGRO,D,20231229,000000,1365.2000000,1366.8000000,1299.0000000,1331.8000000,134510
AGRO,D,20240103,000000,1348.8000000,1396.0000000,1342.0000000,1392.0000000,141354
AGRO,D,20240104,000000,1397.4000000,1397.4000000,1379.2000000,1385.0000000,60676
AGRO,D,20240105,000000,1391.6000000,1391.6000000,1365.0000000,1376.4000000,53856
AGRO,D,20240108,000000,1384.8000000,1414.8000000,1381.0000000,1403.0000000,142835
AGRO,D,20240109,000000,1408.0000000,1445.0000000,1402.6000000,1429.8000000,210804
AGRO,D,20240110,000000,1435.8000000,1447.0000000,1404.4000000,1410.8000000,127182
AGRO,D,20240111,000000,1408.8000000,1408.8000000,1381.8000000,1395.0000000,165466
AGRO,D,20240112,000000,1395.4000000,1419.2000000,1383.2000000,1385.0000000,162396
AGRO,D,20240115,000000,1392.8000000,1410.8000000,1385.2000000,1395.2000000,88955
AGRO,D,20240116,000000,1396.8000000,1397.8000000,1361.8000000,1373.2000000,144549
